tile_id,disaster,damage_ratio,has_gt_damage,gt_pixels,pred_pixels,tp,fp,fn,tn,dice,iou,fpr_on_empty
midwest-flooding_00000005_post_disaster_r0_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000005_post_disaster_r0_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000021_post_disaster_r0_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000021_post_disaster_r256_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000021_post_disaster_r768_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000021_post_disaster_r768_c768,midwest-flooding,0.0092620849609375,True,607,0,0,0,607,64929,0.0,0.0,
midwest-flooding_00000022_post_disaster_r256_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000022_post_disaster_r512_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000023_post_disaster_r256_c256,midwest-flooding,0.0322723388671875,True,2115,0,0,0,2115,63421,0.0,0.0,
midwest-flooding_00000023_post_disaster_r256_c512,midwest-flooding,0.019805908203125,True,1298,0,0,0,1298,64238,0.0,0.0,
midwest-flooding_00000023_post_disaster_r512_c512,midwest-flooding,0.0393829345703125,True,2581,0,0,0,2581,62955,0.0,0.0,
midwest-flooding_00000023_post_disaster_r512_c768,midwest-flooding,0.055023193359375,True,3606,0,0,0,3606,61930,0.0,0.0,
midwest-flooding_00000023_post_disaster_r768_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000023_post_disaster_r768_c512,midwest-flooding,0.09002685546875,True,5900,0,0,0,5900,59636,0.0,0.0,
midwest-flooding_00000025_post_disaster_r512_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000025_post_disaster_r768_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000027_post_disaster_r256_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000035_post_disaster_r0_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000035_post_disaster_r768_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000036_post_disaster_r0_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000036_post_disaster_r512_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000039_post_disaster_r256_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000063_post_disaster_r256_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000063_post_disaster_r256_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000063_post_disaster_r768_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000068_post_disaster_r512_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000068_post_disaster_r512_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000074_post_disaster_r256_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000074_post_disaster_r768_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000079_post_disaster_r256_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000083_post_disaster_r256_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000083_post_disaster_r256_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000083_post_disaster_r768_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000085_post_disaster_r0_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000085_post_disaster_r256_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000107_post_disaster_r0_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000107_post_disaster_r0_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000107_post_disaster_r256_c512,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000107_post_disaster_r768_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000113_post_disaster_r256_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000127_post_disaster_r512_c0,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000127_post_disaster_r512_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000140_post_disaster_r768_c256,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
midwest-flooding_00000141_post_disaster_r0_c768,midwest-flooding,0.0,False,0,0,0,0,0,65536,,,0.0
