tile_id,disaster,damage_ratio,dice,iou,tp,fp,fn
midwest-flooding_00000005_post_disaster_r0_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000005_post_disaster_r0_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000021_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000021_post_disaster_r256_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000021_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000021_post_disaster_r768_c768,midwest-flooding,0.0092620849609375,0.001644736842105263,0.001644736842105263,0,0,607
midwest-flooding_00000022_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000022_post_disaster_r512_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000023_post_disaster_r256_c256,midwest-flooding,0.0322723388671875,0.0004725897920604915,0.0004725897920604915,0,0,2115
midwest-flooding_00000023_post_disaster_r256_c512,midwest-flooding,0.019805908203125,0.0007698229407236335,0.0007698229407236335,0,0,1298
midwest-flooding_00000023_post_disaster_r512_c512,midwest-flooding,0.0393829345703125,0.0003872966692486445,0.0003872966692486445,0,0,2581
midwest-flooding_00000023_post_disaster_r512_c768,midwest-flooding,0.055023193359375,0.0002772387025228722,0.0002772387025228722,0,0,3606
midwest-flooding_00000023_post_disaster_r768_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000023_post_disaster_r768_c512,midwest-flooding,0.09002685546875,0.0001694628029147602,0.0001694628029147602,0,0,5900
midwest-flooding_00000025_post_disaster_r512_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000025_post_disaster_r768_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000027_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000035_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000035_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000036_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000036_post_disaster_r512_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000039_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000063_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000063_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000063_post_disaster_r768_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000068_post_disaster_r512_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000068_post_disaster_r512_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000074_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000074_post_disaster_r768_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000079_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000083_post_disaster_r256_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000083_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000083_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000085_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000085_post_disaster_r256_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000107_post_disaster_r0_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000107_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000107_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000107_post_disaster_r768_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000113_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000127_post_disaster_r512_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000127_post_disaster_r512_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000140_post_disaster_r768_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000141_post_disaster_r0_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000141_post_disaster_r512_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000145_post_disaster_r0_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000145_post_disaster_r0_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000145_post_disaster_r256_c0,midwest-flooding,0.0173797607421875,0.0008771929824561404,0.0008771929824561404,0,0,1139
midwest-flooding_00000145_post_disaster_r512_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000145_post_disaster_r512_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000145_post_disaster_r768_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000154_post_disaster_r256_c0,midwest-flooding,0.0,0.003787878787878788,0.003787878787878788,0,263,0
midwest-flooding_00000154_post_disaster_r512_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000154_post_disaster_r768_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000154_post_disaster_r768_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000161_post_disaster_r0_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000161_post_disaster_r256_c512,midwest-flooding,0.0101165771484375,0.0015060240963855422,0.0015060240963855422,0,0,663
midwest-flooding_00000161_post_disaster_r512_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000161_post_disaster_r768_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000173_post_disaster_r0_c512,midwest-flooding,0.012237548828125,0.783084004602992,0.6436672967863895,680,255,122
midwest-flooding_00000173_post_disaster_r0_c768,midwest-flooding,0.008697509765625,0.8036101083032491,0.6718938480096501,556,258,14
midwest-flooding_00000175_post_disaster_r0_c0,midwest-flooding,0.0151519775390625,0.6414645744174988,0.4723582925122463,674,435,319
midwest-flooding_00000175_post_disaster_r0_c256,midwest-flooding,0.017852783203125,0.0008539709649871904,0.0008539709649871904,0,0,1170
midwest-flooding_00000175_post_disaster_r0_c512,midwest-flooding,0.0959320068359375,0.00014894250819183795,0.00014894250819183795,0,426,6287
midwest-flooding_00000175_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000178_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000178_post_disaster_r256_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000188_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000197_post_disaster_r0_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000197_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000197_post_disaster_r512_c256,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000197_post_disaster_r768_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000217_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000217_post_disaster_r256_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000217_post_disaster_r512_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000217_post_disaster_r768_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000220_post_disaster_r0_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000220_post_disaster_r512_c768,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000236_post_disaster_r0_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000236_post_disaster_r768_c256,midwest-flooding,0.014434814453125,0.0010559662090813093,0.0010559662090813093,0,0,946
midwest-flooding_00000313_post_disaster_r256_c512,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000313_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000330_post_disaster_r0_c256,midwest-flooding,0.005828857421875,0.0026109660574412533,0.0026109660574412533,0,0,382
midwest-flooding_00000330_post_disaster_r256_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000330_post_disaster_r768_c0,midwest-flooding,0.0,1.0,1.0,0,0,0
midwest-flooding_00000346_post_disaster_r0_c0,midwest-flooding,0.1474609375,0.9081231079717457,0.8317161075686166,8999,1156,665
